word	nf	form	number
' др. '	другой	ПРИЛАГАТЕЛЬНОЕ	0
' пр. '	прочий	ПРИЛАГАТЕЛЬНОЕ	0
100%	100%	НАРЕЧИЕ	0
2хдневная	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневного	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневное	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневной	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневном	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневному	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневною	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневную	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневные	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневный	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневным	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневными	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хдневных	2хдневный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатная	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатного	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатное	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатной	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатном	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатному	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатною	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатную	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатные	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатный	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатным	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатными	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хкомнатных	2хкомнатный	ПРИЛАГАТЕЛЬНОЕ	0
2хместная	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместного	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместное	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместной	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместном	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместному	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместною	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместную	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместные	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместный	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместным	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместными	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
2хместных	2хместный	ПРИЛАГАТЕЛЬНОЕ	0
3D	3D	ПРЕФИКС_СОСТАВ_СУЩ	0
3хместная	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместного	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместное	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместной	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместном	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместному	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместною	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместную	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместные	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместный	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместным	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместными	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
3хместных	3хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместная	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместного	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместное	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместной	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместном	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместному	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместною	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместную	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместные	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместный	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместным	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместными	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
4хместных	4хместный	ПРИЛАГАТЕЛЬНОЕ	0
GPS - навигатор	GPS - навигатор	СУЩЕСТВИТЕЛЬНОЕ	0
