,reviews,sentiment
0,"A fine story about following your dreams and actually taking a stab at Doing something about them when the chance strikes. Nothing was easy for Morris either-he had a family, job, job opps elsewheres, a mortgage, etc-it wasn't like he could just drop what he was doing and blithely hop on the greyhound to play AAA ball for 4 months. It took guts. I am glad that they showed his indecision, almost up 'til he got the callup to the majors.<br /><br />I can remember seeing him pitch against the Red Sox(I think...), it was a great story. Though Morris actually looks more like John Kruk or a Mills Watson than Quaid-that's okay. <br /><br />Quaid does a very good job playing the man, the teacher, coach and 'oldest rookie'.... As someone who is in the the same age group, I certainly can ID with his plight. You're not Quite too old to do what you had dreamed of as a kid, but it's getting there. You have to do it sooner than lator.<br /><br />Believably told, nicely edited, paced, acted, good to see the familiar faces of the late Royce Applegate, Brian Cox and Rachel Griffiths here.<br /><br />Good job all around, glad to see it hit.<br /><br />*** outta ****...who woulda thought that the Tampa Devil Rays woulda been the subject of such a good movie early on?",1
1,"Was lucky enough to be an extra in this great film and loved every minute of the filming. Went to the premier in London and had a great chat to Phil, Peter, Martin, and Jon as did my wife.Fantastic after party too. Then a few weeks later had trip to the cinema with members of our bike club. What a brilliant film, it deserves to be up there with all the great biker films. Now we have the DVD Sue my wife can't get enough of it neither can the kids. Get a bit of stick from the club who seem to think I'm a film star now oh well one can only dream. I think they are just jealous. The only downside of the first part of the filming was the weather, rain, rain and more rain but hey we was in Wales. Hopefully there will be a follow up so keep me posted Jon. Danny Beck",1
2,"This is not as funny and gory as the DVD box claims. I really love twisted and wierd movies, but this one is really just dull! It's one hour of ripped off penises, flying Baby Born dolls and a lot of rape! I think the intention with this amateur sleaze, was to make a It's-so-bad-it's-good movies, but it fails. It's just bad! A few scenes are ok, but in whole it's a mess. If you like amateur splatter like this one (Only way better) I would recommend Andreas Schnass' Violent Shit 2 and 3.",0
3,"Saw a trailer for this on another video, and decided to rent when it came out. Boy, was I disappointed! The story is extremely boring, the acting (aside from Christopher Walken) is bad, and I couldn't care less about the characters, aside from really wanting to see Nora's husband get thrashed. Christopher Walken's role is such a throw-away, what a tease!",0
4,"I must confess that I was completely shocked by this film. For one, I went to see it on a whim expecting something mediocre, but given this, the most shocking thing was that this was in a populist American cinema at all. This is British comedy at its finest - dark, quirky and funny in ways that American films just never are. I must stop short, however, of recommending this wholeheartedly to anyone; I went to see it with several people, some English, some European and some American and while some of us loved it (mainly from the first two groups), some hated it and found it worthless. If you think you're into this kind of thing then go. If not, don't. 10/10.",1
5,"Vanilla Sky is a 2001 remake of the 1997 movie Abre Los Ojos (Open Your Eyes). And in my opinion, a much more human and emotional version. Tom Cruise plays David Aames, a selfish egomaniac who takes other people's emotions for granted, and thinks only of himself. Jason Lee plays Brian Shelby, David's best, and in many ways, only friend. Penelope Cruz plays Sofia Serrano, Brian's girlfriend whom accompanies him to David's birthday party. Cameron Diaz plays Julie Gianni, David's occasional bed buddy. Kurt Russell plays Dr. Curtis McCabe, a psychologist interviewing David. All of their interactions, and the consequences of them, make Vanilla Sky one of the most emotional, and complex thrillers ever made. I won't explain anymore of the plot, because it's far more compelling, the less you know. Ignore all people that call this film too confusing to follow. If you pay attention, you won't be confused. The film is very complex, but not confusing. And in my opinion, one of the best movies ever made.",1
6,"""Johnny Dangerously"" is a sort of hit and miss comedy that has it's laughs and ""huh?"". But I suggest to give it a chance. I think it is greatly over looked. Not too many people give this movie a chance. It does work. Just think of it as a little parody of ""Goodfellas"". Michael Keaton is very funny in his role. And he does it well. Johnny Dangerously is a gangster who wants to go higher in life. He just works his way up from the big bosses to a beautiful wife. And of course like a lot of the mob movies, someone wants him dead. 90% of the jokes get a laugh. Like, I said give it a chance. Just take your favortie gangster movies and mix a comedy in. You have ""Johnny Dangerously"". <br /><br />7/10",1
7,"i read the book ""7 years in Tibet"" from Heinrich Harrer and was fascinated of it. then i immediately grabbed the DVD and started to watch the movie. i remember the first time i saw it back in 98, i kinda liked it. well, now i watched it again in full knowledge of the book it is based on. and soon i realized how WRONG it all was told:<br /><br />when they enter Lhasa the people start to stick their tongues out of their mouths and Thewlis and Pitt have the impression that its the way to say hello in Tibet, so they greet back... in the book Harrer explains, that sticking the tongue out is a sign of absolute humbleness and loyalty in Tibet and they may do it in front of the Dalai Lama but certainly not for these two europeans! not only the mother but even the Dalai Lama himself was wearing glasses in the public. in the book Harrer mentions, that no one in Tibet wore glasses to that time(sorry forgot the reason, but its explained in the book too).the young Dalai Lama did, but only when he was alone and nobody could see him! and what about that Mao tse tung lookalike, destroying the mandala in front of the young ""living buddha""?? childish... and the tailor made Harrer and Aufschnaiter tibetan clothes not European designer suits! why are so many events that really happened eliminated from the story, just to fill the time with a fictional love interest (the female tailor...)that is completely unimportant? just like the whole story about harrers son, rolf. not one word is mentioned about him or even any family member of harrer in the book. but that was OK for me because ""7 years in Tibet"" is not a book about harrers person. its about tibet. I'm very disappointed by this ""adaption"" of the famous book. and i bet heinrich harrer was, too... 3 stars, just for the cinematography.",0
8,"Andie MacDowell's facial expressions are great again in this movie. When you enter 40 and have been single for a while (or all your life) you may feel you are wasting away. The movie is a sweet reminder that love can be found just anywhere if your antennae is acutely active. I liked the quick sexual encounter, which must be out of character for a normally reserved school teacher (MacDowell). Her ex-student is cute enough, still carrying a crush on his teacher for so long. <br /><br />There are some parts that I thought rather unrealistic or unpractical, though. For example, at a scene where the other women's jealousy override and a scene was set up to make Andie MacDowell dump the young man, would a mature police officer (the other friend of MacDowell) allow her friend to do such a sinister act? Is it so easy for anyone to not stop in front of a car? Of course accidents happen all the time, but I hoped to see the heroine get happily married with the first man she got involved with (that was the hardest part to believe!! For such a beautiful woman to stay single for so long??)... <br /><br />Maybe the movie producers are aware of the fact that many romance between an older woman and a younger man do not last for long. Beside they know that a happy ending would not appeal to the public, especially to jealousy women over 40, who are waiting some miracles to happen. The sad ending with a glimpse of hope for the sad woman who lost her true love is sweet, but if the man continued to live, would that last? For how long? Nobody knows. Nonetheless, it's a movie to make you want to watch it again sometime later.... a year later maybe.",1
9,"Why else would he do this to me?<br /><br />Not that I expect Dean Cain to produce hit movies. Or even decent movies. I saw Lois and Clark, I am aware of just how... ""good"" Dean Cain is.<br /><br />Obviously this is gonna be a cheesey flick, and each cheesey flick has its own special way to make you scratch your head. I will not call these spoilers as you can't really spoil this movie any more than it already is.<br /><br />To begin with... why is that a fake helicopter? I mean... why?<br /><br />How come that one scientist is from Chicago and that other scientist is from LA and neither one could be any more eastern european if they tried? How hard would it have been to get either an american actor, or just change that lame state sheet the movie provides us with to say those people aren't american?<br /><br />Why are there 2 occasions when the movie gives us a slug line? We get helipad-day and then mess hall-day later on. And then that's it, who cares about the timeline. To be honest, who cared about it even when they mentioned it, but I guess that's beside the point.<br /><br />Does a movie really get better if you are able to view it through multiple split screens? The answer is no.<br /><br />That dragon sure can walk down that hall..over..and over...and over....and over...<br /><br />Who on earth was responsible for one of the worst endings in film history? It was straight out of scooby doo. Oh, the dragon's dead now...say, wanna get dinner? Sure, but not at some Chinese place....with Dragon in the name!! AH HA HA HA!! HA HA HA!! HAHA HA! I used to be Superman! AHA HA HA! HA HA!<br /><br />fade to black<br /><br />my god, it made me cringe it was so stupid.<br /><br />But never fear..even though the whole building exploded...and no one was left alive..for some reason there's a second untouched, unmanned lab that survived pretty well, so they can make a sequel. Hurray for us all.<br /><br />",0
